palavras,forca,rank
pasmo,0.4047103,215
edita,0.4045981,216
datei,0.4045981,216
adite,0.4045981,216
deita,0.4045981,216
dieta,0.4045981,216
aguei,0.4045607,217
tardo,0.4041495,218
dotar,0.4041495,218
arguo,0.4041121,219
decai,0.4041121,219
cedia,0.4041121,219
varou,0.4040748,220
optai,0.4040374,221
apito,0.4040374,221
topai,0.4040374,221
patio,0.4040374,221
afiou,0.4039626,222
adeus,0.4039252,223
deusa,0.4039252,223
saude,0.4039252,223
geram,0.4038505,224
regam,0.4038505,224
ergam,0.4038505,224
varem,0.4038131,225
afiem,0.4037009,226
corda,0.4036636,227
cardo,0.4036636,227
aloje,0.4036262,228
natos,0.4036262,228
notas,0.4036262,228
santo,0.4036262,228
copia,0.4035514,229
picao,0.4035514,229
pousa,0.4033645,230
forma,0.4032523,231
foram,0.4032523,231
mofar,0.4032523,231
nasco,0.4031402,232
nacos,0.4031402,232
canos,0.4031402,232
canso,0.4031402,232
oncas,0.4031402,232
pasme,0.4031028,233
pesam,0.4031028,233
meios,0.4030654,234
moeis,0.4030654,234
somei,0.4030654,234
esimo,0.4030654,234
bramo,0.4029533,235
renal,0.4027664,236
sumia,0.402729,237
tarde,0.4025421,238
regua,0.4025047,239
apite,0.4024299,240
peita,0.4024299,240
tapei,0.4024299,240
cerda,0.4020561,241
nesta,0.4020187,242
netas,0.4020187,242
antes,0.4020187,242
exalo,0.4020187,242
tensa,0.4020187,242
senta,0.4020187,242
atens,0.4020187,242
prato,0.4019813,243
parto,0.4019813,243
rapto,0.4019813,243
optar,0.4019813,243
trapo,0.4019813,243
topar,0.4019813,243
tropa,0.4019813,243
porta,0.4019813,243
apice,0.4019439,244
capei,0.4019439,244
pecai,0.4019439,244
epica,0.4019439,244
arfou,0.4019065,245
furao,0.4019065,245
ousei,0.4017196,246
arfem,0.4016449,247
rouba,0.4016075,248
nasce,0.4015327,249
cenas,0.4015327,249
canse,0.4015327,249
porca,0.4014953,250
parco,0.4014953,250
tiram,0.4013458,251
mitra,0.4013458,251
abrem,0.4013458,251
brame,0.4013458,251
gomas,0.4010093,252
ermos,0.4010093,252
gosma,0.4010093,252
morse,0.4010093,252
gamos,0.4010093,252
mores,0.4010093,252
magos,0.4010093,252
remos,0.4010093,252
meros,0.4010093,252
vamos,0.400972,253
movas,0.400972,253
sovam,0.400972,253
ideal,0.4008972,254
criam,0.4008598,255
muras,0.4006729,256
rumas,0.4006729,256
dolar,0.4004486,257
ladro,0.4004486,257
trepa,0.4003738,258
rapte,0.4003738,258
preta,0.4003738,258
parte,0.4003738,258
polia,0.4003364,259
agito,0.4003364,259
pilao,0.4003364,259
itero,0.4003364,259
votai,0.4002991,260
ativo,0.4002991,260
traiu,0.4,261
abreu,0.4,261
lonas,0.3999252,262
perca,0.3998879,263
carpe,0.3998879,263
pecar,0.3998879,263
orcei,0.3998505,264
corei,0.3998505,264
rocei,0.3998505,264
coagi,0.3998505,264
creio,0.3998505,264
erico,0.3998505,264
cavio,0.3998131,265
dotas,0.3997009,266
todas,0.3997009,266
curia,0.399514,267
curai,0.399514,267
gemas,0.3994019,268
docas,0.399215,269
lerda,0.3988411,270
ladre,0.3988411,270
mofas,0.3988037,271
pelai,0.398729,272
agite,0.398729,272
evita,0.3986916,273
vetai,0.3986916,273
ative,0.3986916,273
ambos,0.3985047,274
sambo,0.3985047,274
enoja,0.3983178,275
enjoa,0.3983178,275
nelas,0.3983178,275
polar,0.3982804,276
grato,0.3982804,276
trago,0.3982804,276
trova,0.398243,277
travo,0.398243,277
cegai,0.398243,277
votar,0.398243,277
cavie,0.3982056,278
cavei,0.3982056,278
afobe,0.3981308,279
fatio,0.3981308,279
dates,0.3980935,280
desta,0.3980935,280
agues,0.3980561,281
eguas,0.3980561,281
suave,0.3980187,282
botai,0.3978318,283
cargo,0.3977944,284
cravo,0.397757,285
focai,0.3976449,286
coifa,0.3976449,286
limar,0.3976449,286
desca,0.3976075,287
cedas,0.3976075,287
optas,0.3975327,288
aptos,0.3975327,288
posta,0.3975327,288
pasto,0.3975327,288
topas,0.3975327,288
patos,0.3975327,288
safou,0.3974579,289
fusao,0.3974579,289
coiba,0.3973458,290
caibo,0.3973458,290
safem,0.3971963,291
abuso,0.3971589,292
pocas,0.3970467,293
copas,0.3970467,293
mista,0.3968972,294
sabem,0.3968972,294
sambe,0.3968972,294
anexo,0.3967103,295
lepra,0.3966729,296
pelar,0.3966729,296
rolei,0.3966355,297
verta,0.3966355,297
trave,0.3966355,297
treva,0.3966355,297
vetar,0.3966355,297
orlei,0.3966355,297
vilao,0.3965981,298
oliva,0.3965981,298
viola,0.3965981,298
fatie,0.3965234,299
feita,0.3965234,299
cisma,0.3964112,300
batei,0.3962243,301
cegar,0.3961869,302
crave,0.3961495,303
farto,0.3960748,304
frota,0.3960748,304
fator,0.3960748,304
ceifa,0.3960374,305
solda,0.396,306
lados,0.396,306
saldo,0.396,306
paste,0.3959252,307
tapes,0.3959252,307
estio,0.3958879,308
tosei,0.3958879,308
botar,0.3957757,309
brota,0.3957757,309
cabei,0.3957383,310
forca,0.3955888,311
focar,0.3955888,311
fraco,0.3955888,311
danei,0.3955888,311
andei,0.3955888,311
nadei,0.3955888,311
situa,0.3955514,312
abuse,0.3955514,312
sutia,0.3955514,312
pesca,0.3954393,313
capes,0.3954393,313
pecas,0.3954393,313
coeis,0.3954019,314
cosei,0.3954019,314
cesio,0.3954019,314
braco,0.3952897,315
broca,0.3952897,315
cobra,0.3952897,315
barco,0.3952897,315
nardo,0.3951402,316
ronda,0.3951402,316
andor,0.3951402,316
suica,0.3950654,317
cuias,0.3950654,317
leiga,0.395028,318
opina,0.395028,318
gelai,0.395028,318
legai,0.395028,318
piano,0.395028,318
lavei,0.3949907,319
viela,0.3949907,319
levai,0.3949907,319
velai,0.3949907,319
valei,0.3949907,319
largo,0.3945794,320
logra,0.3945794,320
valor,0.3945421,321
alvor,0.3945421,321
lavro,0.3945421,321
freta,0.3944673,322
farte,0.3944673,322
folia,0.3944299,323
filao,0.3944299,323
delas,0.3943925,324
salde,0.3943925,324
azedo,0.3942804,325
breta,0.3941682,326
bater,0.3941682,326
bailo,0.3941308,327
aboli,0.3941308,327
labio,0.3941308,327
bolai,0.3941308,327
gotas,0.3938318,328
gosta,0.3938318,328
lapso,0.3938318,328
retos,0.3938318,328
gasto,0.3938318,328
gatos,0.3938318,328
togas,0.3938318,328
resto,0.3938318,328
setor,0.3938318,328
sorte,0.3938318,328
vasto,0.3937944,329
votas,0.3937944,329
caber,0.3936822,330
citar,0.3936822,330
breca,0.3936822,330
andre,0.3935327,331
drena,0.3935327,331
renda,0.3935327,331
surta,0.3934953,332
matou,0.3934953,332
naipe,0.3934206,333
penai,0.3934206,333
roces,0.3933458,334
coser,0.3933458,334
cores,0.3933458,334
orces,0.3933458,334
covas,0.3933084,335
limas,0.3931963,336
rijas,0.3931963,336
sirza,0.3930841,337
azimo,0.3930841,337
cursa,0.3930093,338
curas,0.3930093,338
oucam,0.3930093,338
cruas,0.3930093,338
geral,0.392972,339
gelar,0.392972,339
legar,0.392972,339
velar,0.3929346,340
relva,0.3929346,340
lavre,0.3929346,340
levar,0.3929346,340
valer,0.3929346,340
falei,0.3928224,341
biela,0.3925234,342
baile,0.3925234,342
farol,0.3923738,343
flora,0.3923738,343
minar,0.3923364,344
pelas,0.3922243,345
gesta,0.3922243,345
gaste,0.3922243,345
solei,0.3921869,346
vetas,0.3921869,346
isole,0.3921869,346
ileso,0.3921869,346
labor,0.3920748,347
bolar,0.3920748,347
atuem,0.3918879,348
cegas,0.3917383,349
caves,0.3917009,350
fatos,0.3916262,351
rixas,0.3915888,352
acuem,0.3914019,353
perna,0.3913645,354
penar,0.3913645,354
ornei,0.3913271,355
botas,0.3913271,355
basto,0.3913271,355
obsta,0.3913271,355
reino,0.3913271,355
bosta,0.3913271,355
navio,0.3912897,356
noiva,0.3912897,356
inova,0.3912897,356
focas,0.3911402,357
fosca,0.3911402,357
major,0.3911402,357
podia,0.3911028,358
podai,0.3911028,358
piado,0.3911028,358
dopai,0.3911028,358
unira,0.3909907,359
anuir,0.3909907,359
urina,0.3909907,359
ruina,0.3909907,359
bocas,0.3908411,360
cabos,0.3908411,360
bacos,0.3908411,360
danos,0.3906916,361
sonda,0.3906916,361
donas,0.3906916,361
ondas,0.3906916,361
harem,0.3905794,362
latir,0.3904673,363
galos,0.3901308,364
lagos,0.3901308,364
salgo,0.3901308,364
golas,0.3901308,364
glosa,0.3901308,364
orles,0.3901308,364
roles,0.3901308,364
alvos,0.3900935,365
valos,0.3900935,365
salvo,0.3900935,365
festa,0.3900187,366
exima,0.3899813,367
mexia,0.3899813,367
rajou,0.3897944,368
bates,0.3897196,369
besta,0.3897196,369
baste,0.3897196,369
negai,0.3897196,369
ignea,0.3897196,369
abste,0.3897196,369
envia,0.3896822,370
venia,0.3896822,370
viena,0.3896822,370
nevai,0.3896822,370
rajem,0.3895327,371
faces,0.3895327,371
rejam,0.3895327,371
cafes,0.3895327,371
peida,0.3894953,372
pedia,0.3894953,372
rezam,0.3894206,373
zeram,0.3894206,373
haure,0.3892336,374
becas,0.3892336,374
citas,0.3892336,374
cabes,0.3892336,374
afino,0.3891215,375
densa,0.3890841,376
andes,0.3890841,376
nades,0.3890841,376
danes,0.3890841,376
senda,0.3890841,376
pardo,0.3890467,377
prado,0.3890467,377
dopar,0.3890467,377
podar,0.3890467,377
boina,0.3888224,378
legas,0.3885234,379
gelas,0.3885234,379
panos,0.3885234,379
velas,0.388486,380
laves,0.388486,380
vales,0.388486,380
levas,0.388486,380
alves,0.388486,380
salve,0.388486,380
selva,0.388486,380
emula,0.3881869,381
falso,0.3879252,382
minas,0.3878879,383
negar,0.3876636,384
negra,0.3876636,384
range,0.3876636,384
lobas,0.3876262,385
bolsa,0.3876262,385
bolas,0.3876262,385
nevar,0.3876262,385
enfia,0.387514,386
afine,0.387514,386
padre,0.3874393,387
pedra,0.3874393,387
perda,0.3874393,387
rodei,0.3874019,388
erodi,0.3874019,388
agido,0.3874019,388
avido,0.3873645,389
vadio,0.3873645,389
cotam,0.3871776,390
tocam,0.3871776,390
hiato,0.3870654,391
durai,0.3870654,391
urdia,0.3870654,391
penas,0.3869159,392
pensa,0.3869159,392
unias,0.3865421,393
anuis,0.3865421,393
unais,0.3865421,393
suina,0.3865421,393
usina,0.3865421,393
fales,0.3863178,394
impar,0.386243,395
prima,0.386243,395
bales,0.3860187,396
lista,0.3860187,396
belas,0.3860187,396
latis,0.3860187,396
touca,0.3858318,397
catou,0.3858318,397
tacou,0.3858318,397
cauto,0.3858318,397
vadie,0.385757,398
vedai,0.385757,398
evadi,0.385757,398
devia,0.385757,398
tecam,0.3855701,399
catem,0.3855701,399
cozia,0.3854206,400
drago,0.3853458,401
droga,0.3853458,401
gorda,0.3853458,401
piore,0.3852336,402
souza,0.3852336,402
porei,0.3852336,402
igapo,0.3852336,402
fiado,0.3851963,403
pavio,0.3851963,403
berna,0.3851589,404
trina,0.3851589,404
sejam,0.3850841,405
horta,0.3850093,406
cheia,0.384972,407
achei,0.384972,407
pariu,0.3848972,408
diabo,0.3848972,408
ornes,0.3848224,409
rosne,0.3848224,409
ganso,0.3848224,409
novas,0.384785,410
crina,0.3846729,411
dopas,0.3845981,412
podas,0.3845981,412
racho,0.3845234,413
chora,0.3845234,413
rocha,0.3845234,413
urnas,0.384486,414
boxea,0.3844112,415
trajo,0.3839626,416
lotam,0.3839626,416
grade,0.3837383,417
vedar,0.3837009,418
pegai,0.3836262,419
fedia,0.3835888,420
calmo,0.3834766,421
colam,0.3834766,421
locam,0.3834766,421
corja,0.3834766,421
mexas,0.3834766,421
clamo,0.3834766,421
olhai,0.3833645,422
nesga,0.383215,423
ganes,0.383215,423
negas,0.383215,423
nevas,0.3831776,424
avens,0.3831776,424
naves,0.3831776,424
vapor,0.3831402,425
fardo,0.3831402,425
parvo,0.3831402,425
pavor,0.3831402,425
prova,0.3831402,425
fiapo,0.383028,426
doeis,0.3829533,427
dosei,0.3829533,427
sedio,0.3829533,427
rache,0.3829159,428
anuem,0.3828785,429
dobra,0.3828411,430
